,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
AMD,-0.12017806511488052,-0.12017806511488047,0.03832579290117132,0.03832579290117257,0.15320871355359172,-0.15320871355359336,-0.2508524635156581,-0.2508524635156674,-0.0043505541352207066,0.004350554135242675,-0.3247200813661531,0.32472008136615477,0.2843642065707886,-0.28436420657079076,0.1046508215274211,0.10465082152741643,-0.38684328519265243,0.38684328519264294,0.22530848988830957,0.22530848988831903
AAPL,-0.2835881254556372,-0.28358812545563666,0.08087459991191695,0.08087459991191681,-0.26577546055146506,0.2657754605514652,-0.12140959069305618,-0.12140959069305651,-0.20782423487316615,0.20782423487315654,-0.1873107609064416,0.18731076090644305,0.16767302003836065,-0.16767302003835804,0.37450795837570905,0.37450795837570416,-0.17656519790541478,0.1765651979054116,0.223244786382965,0.2232447863829818
PYPL,-0.34218768332459204,-0.34218768332459204,-0.3363145050332111,-0.33631450503321014,0.03328644924938941,-0.03328644924938714,-0.19587914321450844,-0.19587914321450897,0.060169784051530104,-0.06016978405153672,-0.05932458549657327,0.05932458549657263,-0.3835172514159738,0.3835172514159772,0.19747460141545428,0.19747460141545692,-0.12617127941954132,0.12617127941954787,0.14554317294110491,0.1455431729410911
MSFT,-0.25714569074464233,-0.25714569074464233,-0.05978892013790372,-0.059788920137902095,0.15375139447127226,-0.1537513944712724,-0.0062070416446528935,-0.0062070416446538155,0.036783988100426476,-0.03678398810042636,0.17170809994371206,-0.17170809994371167,-0.07462521133805948,0.07462521133806409,0.33589607361964646,0.33589607361964346,-0.502362329619837,0.5023623296198313,-0.07087751451697435,-0.07087751451694384
GOOG,-0.24240503642202854,-0.24240503642202826,0.003840315830333732,0.003840315830332954,-0.14540023671829774,0.14540023671830135,-0.20544658011243408,-0.20544658011243783,-4.6779436703899836e-05,4.677943670187019e-05,-0.12382265726486777,0.12382265726486888,-0.03710683544516282,0.03710683544516629,0.4740708463217649,0.47407084632176233,-0.33609059088408444,0.33609059088407894,0.1531877987428305,0.153187798742855
TXN,-0.4879519172698796,-0.48795191726987963,-0.16644048699319344,-0.16644048699319267,0.3074811095603198,-0.3074811095603196,0.2099581330484764,0.209958133048478,0.03622669488696922,-0.03622669488697522,0.029665078642402316,-0.02966507864240316,-0.23286228193080669,0.23286228193081027,-0.01927369843275175,-0.019273698432749748,0.028811974476113552,-0.028811974476115405,0.19481940963021985,0.1948194096302022
ORCL,-0.16379658769669908,-0.16379658769669903,0.23803147773304276,0.23803147773304295,0.38926702107078137,-0.389267021070785,-0.02555039872858728,-0.025550398728590457,0.0714628454882868,-0.07146284548828673,-0.12883653129212766,0.12883653129212866,0.17504055826746895,-0.1750405582674705,0.0411643792064313,0.04116437920642676,-0.43836839342499107,0.4383683934249902,-0.13462434887463243,-0.13462434887459934
NVDA,-0.2023803054988768,-0.2023803054988771,-0.30972285349201345,-0.30972285349201323,0.11270255621697574,-0.11270255621697235,-0.25064900728969014,-0.2506490072897008,-0.30509183035871645,0.30509183035870124,0.0781702953983561,-0.07817029539835556,0.2024508373775994,-0.202450837377599,0.04574581284141635,0.045745812841413346,-0.24326405657788158,0.24326405657786998,0.2934946894466065,0.2934946894466262
FANG,-0.0139140417922877,-0.01391404179228788,-0.14134536259490885,-0.1413453625949084,0.16275686274303597,-0.16275686274303802,0.3001790379619549,0.3001790379619558,0.0919018945532104,-0.09190189455320007,-0.26246996070309303,0.262469960703093,-0.2606408178542709,0.2606408178542675,-0.2807208722849854,-0.2807208722849877,-0.3133951080698559,0.3133951080698503,0.20233600862906612,0.2023360086290725
EOG,0.10076125285142616,0.10076125285142613,0.0879438432782712,0.0879438432782724,0.18182907223672246,-0.18182907223672556,0.20761239674971704,0.2076123967497142,0.1523025807518052,-0.15230258075180408,-0.5734517955189952,0.5734517955189957,-0.037567802286550406,0.03756780228654869,-0.1897201114122129,-0.1897201114122147,-0.11021154578873867,0.11021154578873528,-0.06598218246589131,-0.06598218246588848
